EURING Code,Current Name,Date Updated,Notes,Old name,Current IOC code
12400,Helopsaltes pryeri,02/06/2008,,Megalurus pryeri,25894
12410,Acrocephalus melanopogon,02/06/2008,,Acrocephalus melanopogon,25809
12411,Acrocephalus melanopogon melanopogon,02/06/2008,,Acrocephalus melanopogon melanopogon,25810
12420,Acrocephalus paludicola,02/06/2008,,Acrocephalus paludicola,25813
12430,Acrocephalus schoenobaenus,02/06/2008,,Acrocephalus schoenobaenus,25814
12440,Acrocephalus sorghophilus,02/06/2008,,Acrocephalus sorgophilus,25815
12450,Acrocephalus bistrigiceps,02/06/2008,,Acrocephalus bistrigiceps,25807
12460,Acrocephalus concinens,02/06/2008,,Acrocephalus concinens,25816
12470,Acrocephalus agricola,02/06/2008,,Acrocephalus agricola,25823
12480,Acrocephalus dumetorum,02/06/2008,,Acrocephalus dumetorum,25827
12490,Acrocephalus brevipennis,02/06/2008,,Acrocephalus brevipennis,25717
12500,Acrocephalus palustris,02/06/2008,,Acrocephalus palustris,25845
12510,Acrocephalus scirpaceus,02/06/2008,,Acrocephalus scirpaceus,25828
12511,Acrocephalus scirpaceus scirpaceus,02/06/2008,,Acrocephalus scirpaceus scirpaceus,25829
12512,Acrocephalus scirpaceus fuscus,02/06/2008,,Acrocephalus scirpaceus fuscus,25831
12520,Acrocephalus stentoreus,02/06/2008,,Acrocephalus stentoreus,25740
12530,Acrocephalus arundinaceus,02/06/2008,,Acrocephalus arundinaceus,25736
12531,Acrocephalus arundinaceus arundinaceus,02/06/2008,,Acrocephalus arundinaceus arundinaceus,25737
12532,Acrocephalus griseldis,02/06/2008,,Acrocephalus arundinaceus griseldis,25715
12540,Arundinax aedon,02/06/2008,,Acrocephalus aedon,25848
12549,Acrocephalus sp.,02/06/2008,,Acrocephalus sp.,NA
12550,Iduna pallida,02/06/2008,E.O.W.,Hippolais pallida,25862
12551,Iduna pallida pallida,02/06/2008,,Hippolais pallida pallida,25866
12552,Iduna opaca,02/06/2008,W.O.W.,Hippolais pallida opacus,25869
12553,Iduna pallida elaeica,02/06/2008,,Hippolais pallida elaeica,25863
12554,Iduna pallida reiseri,02/06/2008,,Hippolais pallida reiseri,25865
12555,Iduna pallida laeneni,02/06/2008,,Hippolais pallida laeneni,25868
12560,Iduna caligata/rama,02/06/2008,,Hippolais caligata,NA
12561,Iduna caligata,02/06/2008,,Hippolais caligata caligata,25857
